id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,quantity_to_sell_on_facebook,inventory
7268031463563,Tecido Para Área Externa Gorgurão Waterblock Hibisco Preto,"Gorgurão Waterblock Hibisco Preto com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Peso: 170 gramas/m2 Composição: 70%algodão 30%poliester. Acabamento: Emborrachado(impermeável) Desenho: floral gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-hibisco-preto,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/100.jpg?v=1715709289,Döhler,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/1584.jpg?v=1715709289,100,100
7268031856779,Tecido Para Área Externa Gorgurão Waterblock Liso Bege,"O Tecido Vem Inteiro? • SIM Gorgurão Waterblock Liso com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Essa proteção também confere a ele resistência a sujeira e mofo. Esse tecido é a evolução do antigo Emborrachado. fabricação nacional. Peso: 170 gramas/m2 Composição: 70%Algodão 30%Poliester. Acabamento: Emborrachado(impermeável) Desenho: liso gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-liso-bege,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/3bf13597-08ab-4f33-890b-91bbac6d99a3_1.jpg?v=1715781930,Döhler,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/c5dadaf3-48d1-45a6-928a-9fe2be10155c_048caa91-1602-4d21-836e-62da8fdfcbf2.jpg?v=1715782111,100,100
7268031955083,Tecido Para Área Externa Gorgurão Waterblock Hibisco Claro,"Gorgurão Waterblock Hibisco Claro com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Essa proteção também confere a ele resistência a sujeira e mofo. Esse tecido é a evolução do antigo Emborrachado. fabricação nacional. Peso: 170 gramas/m2 Composição: 70%Algodão 30%Poliester. Acabamento: Emborrachado(impermeável) Desenho: floral gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-hibisco-claro,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/166.jpg?v=1715709331,Döhler,"https://cdn.shopify.com/s/files/1/0620/8038/5163/products/1587.jpg?v=1715709331,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/poltrona_less_reflection_27ada673-fc46-4d26-b54e-892ac0874f4d.jpg?v=1728485584",100,100
7268032020619,Tecido Para Área Externa Gorgurão Waterblock Falso Liso Azul,"O Tecido Vem Inteiro? • SIM Gorgurão Waterblock Falso Liso com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Peso: 170 gramas/m2 Composição: 70%algodão 30%poliester. Acabamento: Emborrachado(impermeável) Desenho: falso liso gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-falso-liso-azul,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/a2aeeb0882c734e0e6c1ef57cfc06afc.jpg?v=1776372128,Döhler,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/177.jpg?v=1776372129,100,100
7268032118923,Tecido Para Área Externa Gorgurão Waterblock Costela de Adão Preto,"Gorgurão Waterblock Costela-de-Adão Preto com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Peso: 178 gramas/m2 Composição: 70%Algodão 30%Poliester. Acabamento: Emborrachado(impermeável) Desenho: floral gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-costela-de-adao-preto,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/2267.jpg?v=1715691160,Döhler,"https://cdn.shopify.com/s/files/1/0620/8038/5163/products/2268.jpg?v=1715691160,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/2269.jpg?v=1715691152,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/poltrona_less_reflection_f66ea9d1-28b1-4097-9621-1f167c5dd4d4.jpg?v=1728485546",100,100
7268032151691,Tecido Para Área Externa Gorgurão Waterblock Falso Liso Preto,"Gorgurão Waterblock Falso Liso Preto com 1,40m de largura. Tecido indicado para estofados, poltronas, almofadas e também para colar em paredes. O Waterblock é um tecido resinado ideal para áreas externas, pois é impermeável. Peso: 170 gramas/m2 Composição: 70%algodão 30%poliester. Acabamento: Emborrachado(impermeável) Desenho: falso liso gramas/m2 • É resistente à água, o que o torna adequado para uso como externas ou com risco de umidade. • É fácil de limpar e manter, o que o torna uma boa opção para áreas de uso frequente. • Projetado para bloqueio de luz e UV, o que o torna adequado para uso como cobertura. • É resistente a rasgos e abrasão, o que o torna adequado para uso como de tráfego intenso. • Pode ser projetado para resistir a fungos e bactérias, o que o torna adequado para uso como de saúde.",in stock,new,49.98 BRL,https://torretecidos.com.br/products/tecido-para-area-externa-waterblock-falso-liso-preto,https://cdn.shopify.com/s/files/1/0620/8038/5163/files/0e7346a9d95b536e76f688ef511b5c97.jpg?v=1776372188,Döhler,"https://cdn.shopify.com/s/files/1/0620/8038/5163/products/10789.jpg?v=1776372188,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/10788.jpg?v=1776372189",100,100
7268032217227,Tecido Para Cortina Semi Blackout  Branco,"Blackout Branco com 2,8m de largura. Tecido indicado para a confecção de cortinas, possui a propriedade de bloquear a luz solar. Veda 70% da luminosidade. Peso: 220 gramas/m2 Composição: 100%Poliester Desenho: liso gramas/m2",in stock,new,28.98 BRL,https://torretecidos.com.br/products/tecido-para-cortina-semi-blackout-branco,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4584.jpg?v=1709757935,Torre Tecidos,"https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4585.jpg?v=1709757935,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4586.jpg?v=1709757935",100,100
7268032315531,Tecido Para Cortina Semi Blackout Palha,"Black-out Palha com 2,80Mts de largura. Tecido indicado para a confecção de cortinas, possui a propriedade de bloquear a luz solar. Veda 70% da luminosidade. Peso: 200 gramas/m2 Composição: 100% poliester Desenho: liso gramas/m2",in stock,new,28.98 BRL,https://torretecidos.com.br/products/tecido-para-cortina-semi-blackout-palha,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/10750.jpg?v=1709757958,Torre Tecidos,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/10749.jpg?v=1709757958,100,100
7268032381067,Tecido Para Cortina Semi Blackout Café com Leite,"Black-out de Seda CaféLeite com 2,80M de largura. Tecido indicado para a confecção de cortinas, possui a propriedade de bloquear a luz solar. Veda 70% da luminosidade. Peso: 230 gramas/m2 Composição: 100%POLIESTER Desenho: liso gramas/m2",in stock,new,28.98 BRL,https://torretecidos.com.br/products/tecido-para-cortina-semi-blackout-cafe-com-leite,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4590.jpg?v=1706967364,Torre Tecidos,"https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4592.jpg?v=1706967364,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/4591.jpg?v=1706967364",100,100
7268032413835,"Tecido Para Cortina Voil 3,00m Amarelo","Voil Amarelo com 3,00m de largura. Indicado para a confecção de cortinas e forros de mesa, possui transparência. Produto à pronta entrega. Peso: 40 gramas/m2 Composição: 100%Poliester. Desenho: liso gramas/m2",in stock,new,10.99 BRL,https://torretecidos.com.br/products/tecido-para-cortina-voil-3-00m-amarelo-1,https://cdn.shopify.com/s/files/1/0620/8038/5163/products/11259_3df4da91-03f3-4493-8eaa-a8b1e28a44ef.jpg?v=1706967369,Torre Tecidos,,100,100
